from	to	score
CX3CL1	CD8A	0.704
CX3CL1	IL6	0.735
CX3CL1	CXCL6	0.737
CX3CL1	CCL13	0.749
CX3CL1	CCL25	0.768
CX3CL1	CXCL5	0.801
CX3CL1	IL10	0.815
CX3CL1	CCL2	0.831
CX3CL1	CCL7	0.87
CX3CL1	FLT3LG	0.889
CX3CL1	CCL20	0.92
CX3CL1	IFNG	0.923
CX3CL1	CXCL9	0.926
CX3CL1	CXCL10	0.948
CX3CL1	CCL11	0.992
HGF	IFNG	0.716
HGF	KITLG	0.754
HGF	IL10	0.813
HGF	IL6	0.86
CCL2	CXCL6	0.704
CCL2	CCL23	0.792
CCL2	CD8A	0.8
CCL2	CD40	0.811
CCL2	CSF1	0.833
CCL2	CCL13	0.842
CCL2	CCL7	0.883
CCL2	CXCL5	0.891
CCL2	IFNG	0.938
CCL2	IL10	0.963
CCL2	CXCL10	0.965
CCL2	CCL20	0.979
CCL2	IL6	0.985
CCL2	CCL11	0.998
CCL2	CCL8	0.999
CCL2	CXCL9	0.999
CCL13	IL10	0.749
CCL13	CXCL5	0.804
CCL13	CCL20	0.816
CCL13	CCL25	0.864
CCL13	CXCL6	0.88
CCL13	CCL11	0.996
CCL13	CCL8	0.998
CCL13	CXCL9	0.999
CCL13	CXCL10	0.999
CXCL6	IL6	0.702
CXCL6	CCL25	0.729
CXCL6	CCL20	0.836
CXCL6	CXCL5	0.942
CXCL6	CCL11	0.996
CXCL6	CCL7	0.997
CXCL6	CCL8	0.997
CXCL6	CXCL10	0.998
IFNG	KITLG	0.701
IFNG	CCL7	0.724
IFNG	IL12B	0.74
IFNG	SLAMF1	0.775
IFNG	CSF1	0.79
IFNG	FLT3LG	0.801
IFNG	TNFRSF9	0.801
IFNG	CXCL5	0.803
IFNG	CCL20	0.82
IFNG	IL10RB	0.837
IFNG	LTA	0.861
IFNG	CD274	0.899
IFNG	CD40	0.927
IFNG	CXCL9	0.948
IFNG	CXCL10	0.959
IFNG	CCL11	0.979
IFNG	IL6	0.983
IFNG	CD8A	0.99
IFNG	IL10	0.995
IL12B	IL10RB	0.7
IL12B	IL10	0.725
TNFSF10	TNFSF12	0.744
TNFSF10	TNFRSF11B	0.919
IL10RB	IL6	0.889
IL10RB	IL10	0.999
TNFSF12	TNFSF11	0.742
TNFSF12	LTA	0.788
CXCL5	CCL7	0.728
CXCL5	IL10	0.759
CXCL5	CCL25	0.777
CXCL5	IL6	0.862
CXCL5	CXCL10	0.974
CXCL5	CCL11	0.998
CXCL5	CCL20	0.999
TNFRSF11B	TNFSF11	0.999
CCL11	LTA	0.716
CCL11	IL6	0.814
CCL11	IL10	0.843
CCL11	FLT3LG	0.906
CCL11	CCL8	0.997
CCL11	CXCL10	0.999
CCL11	CXCL9	0.999
CXCL10	CD40	0.7
CXCL10	LTA	0.711
CXCL10	CSF1	0.728
CXCL10	CD274	0.777
CXCL10	CCL7	0.833
CXCL10	CCL25	0.848
CXCL10	CD8A	0.887
CXCL10	CCL20	0.936
CXCL10	IL6	0.96
CXCL10	IL10	0.962
CXCL10	CCL8	0.999
CXCL10	CXCL9	0.999
CD6	CD8A	0.799
CD6	CD5	0.985
CSF1	KITLG	0.704
CSF1	IL6	0.827
CSF1	IL10	0.87
CSF1	TNFSF11	0.912
CD5	SLAMF1	0.723
CD5	IL6	0.83
CD5	CD8A	0.963
CCL20	CCL8	0.779
CCL20	CCL23	0.78
CCL20	CCL7	0.814
CCL20	CCL25	0.823
CCL20	IL10	0.835
CCL20	CXCL9	0.866
CCL20	IL6	0.935
CXCL9	CD274	0.761
CXCL9	CCL25	0.805
CXCL9	IL6	0.815
CXCL9	IL10	0.819
CXCL9	CCL8	0.846
CXCL9	CD8A	0.848
CXCL9	CCL7	0.853
CD244	CD8A	0.722
CD40	CD274	0.857
CD40	LTA	0.873
CD40	TNFSF11	0.878
CD40	IL6	0.891
CD40	IL10	0.901
CD40	TNFRSF9	0.913
CD40	CD8A	0.915
PLAU	IL6	0.763
CCL7	IL6	0.755
CCL7	IL10	0.803
CCL7	CCL23	0.834
CD274	IL6	0.799
CD274	IL10	0.877
CD274	TNFRSF9	0.899
CD274	CD8A	0.939
CCL25	CD8A	0.718
CCL25	CCL23	0.741
CCL25	CCL8	0.747
TNFSF11	IL10	0.745
TNFSF11	IL6	0.81
TNFSF11	LTA	0.848
IL6	LTA	0.793
IL6	FLT3LG	0.841
IL6	KITLG	0.921
IL6	CD8A	0.93
IL6	IL10	0.997
CD8A	FLT3LG	0.701
CD8A	SLAMF1	0.721
CD8A	TNFRSF9	0.89
CD8A	IL10	0.958
LTA	FLT3LG	0.73
LTA	IL10	0.846
FLT3LG	KITLG	0.982
